[2025-03-11 23:04:38,144] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:04:38,146] INFO - Route called: POST /auth/request  200
[2025-03-11 23:04:38,594] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:04:38,595] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-11 23:04:38,595] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-11 23:04:39,011] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:04:39,029] INFO - Route called: POST /auth/verify  200
[2025-03-11 23:40:58,121] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:40:58,124] INFO - Route called: POST /auth/request  200
[2025-03-11 23:40:59,657] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:40:59,676] INFO - Route called: POST /auth/verify  200
[2025-03-11 23:41:37,342] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:41:37,347] INFO - Route called: POST /auth/request  200
[2025-03-11 23:41:49,037] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:41:49,048] INFO - Route called: POST /auth/verify  200
[2025-03-11 23:43:26,948] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:43:26,950] INFO - Route called: POST /auth/request  200
[2025-03-11 23:43:29,095] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:43:29,103] INFO - Route called: POST /auth/verify  200
[2025-03-11 23:56:14,411] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:56:14,413] INFO - Route called: POST /auth/request  200
[2025-03-11 23:56:15,991] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-11 23:56:16,003] INFO - Route called: POST /auth/verify  200
[2025-03-11 23:56:51,852] INFO - Auth routes module initialized
[2025-03-11 23:57:04,338] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-11 23:57:04,340] INFO - Route called: POST /auth/request  200
[2025-03-11 23:57:05,932] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-11 23:57:05,962] INFO - Route called: POST /auth/verify  200
[2025-03-11 23:57:49,475] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-11 23:57:49,476] INFO - Route called: POST /auth/request  200
[2025-03-11 23:57:53,678] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-11 23:57:53,689] INFO - Route called: POST /auth/verify  200
[2025-03-11 23:58:03,936] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-11 23:58:03,937] INFO - Route called: POST /auth/request  200
[2025-03-11 23:58:05,241] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-11 23:58:05,241] INFO - Route called: POST /auth/request  200
[2025-03-11 23:58:05,756] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-11 23:58:05,758] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-11 23:58:05,759] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-11 23:58:06,320] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-11 23:58:06,331] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:01:20,699] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:01:20,700] INFO - Route called: POST /auth/request  200
[2025-03-12 00:01:22,302] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:01:22,320] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:01:43,247] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:01:43,248] INFO - Route called: POST /auth/request  200
[2025-03-12 00:01:44,575] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:01:44,576] INFO - Route called: POST /auth/request  200
[2025-03-12 00:02:13,731] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:02:13,732] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:02:13,732] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:02:14,013] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:02:14,032] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:11:29,096] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:11:29,098] INFO - Route called: POST /auth/request  200
[2025-03-12 00:11:32,187] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:11:32,235] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:11:56,871] INFO - Route called: POST /auth/request - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:11:56,872] INFO - Route called: POST /auth/request  200
[2025-03-12 00:11:59,187] INFO - Route called: POST /auth/verify - Wallet: 0xAbf4fb1AC5E3c0Db693deC235F9D9BE1a29bcDc9
[2025-03-12 00:11:59,206] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:17:56,077] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:17:56,081] INFO - Route called: POST /auth/request  200
[2025-03-12 00:18:02,110] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:18:02,117] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:18:07,342] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:18:07,346] INFO - Route called: POST /auth/request  200
[2025-03-12 00:18:08,699] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:18:08,706] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:22:30,021] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:30,022] INFO - Route called: POST /auth/request  200
[2025-03-12 00:22:30,025] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:30,026] INFO - Route called: POST /auth/request  200
[2025-03-12 00:22:30,526] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:30,527] INFO - Route called: POST /auth/request  200
[2025-03-12 00:22:32,066] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:32,067] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:22:32,068] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:22:33,053] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:33,055] ERROR - Route called: POST /auth/verify  400 - Invalid or expired nonce
[2025-03-12 00:22:33,055] ERROR - Route called: POST /auth/verify  500 - 
[2025-03-12 00:22:33,663] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:33,671] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:22:40,142] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:40,142] INFO - Route called: POST /auth/request  200
[2025-03-12 00:22:40,147] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:40,150] INFO - Route called: POST /auth/request  200
[2025-03-12 00:22:40,284] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:40,285] INFO - Route called: POST /auth/request  200
[2025-03-12 00:22:46,499] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:46,500] INFO - Route called: POST /auth/request  200
[2025-03-12 00:22:50,242] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:22:50,251] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:28:28,788] INFO - Auth routes module initialized
[2025-03-12 00:29:15,829] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:29:15,830] INFO - Route called: POST /auth/request  200
[2025-03-12 00:29:22,418] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:29:22,419] INFO - Route called: POST /auth/request  200
[2025-03-12 00:29:24,092] INFO - Route called: POST /auth/verify - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:29:24,139] INFO - Route called: POST /auth/verify  200
[2025-03-12 00:29:49,292] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
[2025-03-12 00:29:49,293] INFO - Route called: POST /auth/request  200
[2025-03-12 00:29:50,793] INFO - Route called: POST /auth/request - Wallet: 0x0300B70e40F138927e3a988ce4A9a069Ff875336
